Ref,TM ID,Frame,Word,MOP2 M5,MOP3  M6,MTP1 M7
1,A101,20,14,1,1,1
2,A102,20,30,1,1,1
3,A201,24,14,145,145,145
4,A301,0,14,7,7,7
5,A302,0,30,10,10,10
6,A303,8,14,10,10,10
7,A304,8,30,7,7,7
8,A305,24,30,10,10,10
9,A306,25,14,7,7,7
10,A307,1,14,15,15,15
11,A308,1,30,15,15,15
12,A309,9,14,15,15,15
13,A310,9,30,15,15,15
14,A311,28,30,15,15,15
15,A312,29,14,15,15,15
16,A313,25,22,21,21,21
17,A314,26,22,21,21,21
18,A315,10,14,21,21,21
19,A317,27,22,21,21,21
20,A318,4,14,21,21,21
21,A319,11,14,21,21,21
22,A320,12,14,27,27,27
23,A321,5,14,27,27,27
24,A322,10,30,27,27,27
25,A401,29,22,3,3,3
26,A402,11,30,3,3,3
27,A501,31,22,8,8,8
28,E101,21,14,31,31,31
29,E201,21,30,32,32,32
30,H301,0,22,41,41,41
31,H302,9,22,41,41,41
32,H303,4,22,41,41,41
33,H304,15,22,41,41,41
34,H305,18,22,41,41,41
35,H306,26,30,41,41,41
36,H309,8,22,47,47,47
37,H311,1,22,47,47,47
38,H312,5,22,47,47,47
39,H313,12,22,47,47,47
40,H314,20,22,47,47,47
41,H320,3,22,48,48,48
42,H321,7,22,48,48,48
43,H322,17,6,47,47,47
44,H323,18,6,47,47,47
45,H324,19,6,41,41,41
46,M101,2,30,61,61,61
47,M201,2,14,62,62,62
48,M203,4,30,66,66,66
49,M204,13,14,67,67,67
50,M205,12,30,68,68,68
51,M206,30,22,69,69,69
52,M207,29,6,160,160,160
53,M208,30,6,160,160,160
54,M301,23,30,63,63,63
55,M302,15,14,63,63,63
56,M303,15,30,63,63,63
57,M304,7,14,63,63,63
58,M305,7,30,63,63,63
59,P101,1,10,80,80,80
60,P102,1,26,84,84,84
61,P103,11,22,85,85,85
62,P104,21,22,94,94,94
63,P105,13,22,94,94,94
64,P106,22,22,86,86,86
65,P107,11,10,88,88,88
66,P112,5,6,98,98,98
67,P113,9,6,95,95,95
68,P114,10,6,100,100,100
69,P115,11,6,100,100,100
70,P116,12,6,100,100,100
71,P201,9,26,82,82,82
72,P202,9,10,81,81,81
73,P203,2,22,90,90,90
74,P204,17,22,91,91,91
75,P213,7,6,99,99,99
76,P214,6,6,96,96,96
77,P217,4,6,97,97,97
78,P301,19,22,87,87,87
79,P302,14,22,89,89,89
80,P303,6,22,92,92,92
81,P304,23,22,92,92,92
82,P312,8,6,93,93,93
83,R101,30,14,105,105,105
84,R102,29,30,106,106,106
85,R103,31,14,105,105,105
86,R104,30,30,106,106,106
87,R105,23,14,109,109,109
88,R106,31,30,105,105,105
89,R107,22,30,106,106,106
90,R108,14,26,112,112,112
91,R109,7,10,112,112,112
92,R110,3,10,112,112,112
93,R111,7,26,112,112,112
94,R112,14,6,107,107,107
95,R113,15,6,107,107,107
96,R114,16,6,109,109,109
97,R115,12,10,83,83,83
98,R201,6,14,101,101,101
99,R301,13,26,104,104,104
100,R302,13,10,113,113,113
101,R303,10,26,128,128,128
102,R304,10,10,127,127,127
103,R305,6,26,126,126,126
104,R306,11,26,117,117,117
105,R307,5,10,118,118,118
106,R308,3,26,119,119,119
107,R309,14,10,120,120,120
108,R310,6,10,121,121,121
109,R311,5,26,122,122,122
110,R312,15,10,123,123,123
111,R313,2,10,124,124,124
112,R314,2,26,125,125,125
113,R315,0,10,136,136,136
114,R316,4,10,134,134,134
115,R317,8,10,135,135,135
,R318,0,10,,,
,R319,4,10,,,
,R320,8,10,,,
116,S150,5,30,131,131,131
117,S160,31,6,133,133,133
118,S170,24,22,133,133,133
119,S250,14,14,132,132,132
120,T103,16,14,144,144,144
121,T104,16,30,144,144,144
122,T121,17,14,196,196,196
123,T122,17,30,195,195,195
124,T123,19,14,200,200,200
125,T124,19,30,194,194,194
126,T125,0,6,199,199,199
127,T126,2,6,199,199,199
128,T321,18,14,19,19,19
129,T322,18,30,19,19,19
130,T323,1,6,197,197,197
131,T324,3,6,197,197,197
